Compound,Smiles,Solvent,Solvent Smiles,,logS/M
"1,2,4,5-Tetramethylbenzene",CC1=C(C=C(C(=C1)C)C)C,1-octanol,n/a,0.756832895,-0.121
"1,2,4-Trichlorobenzene",ClC1=C(C=C(C=C1)Cl)Cl,1-octanol,n/a,3.556313186,0.551
"1,2,5,6-Dibenzanthracene dibenz[a,h]anthracene",c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23,1-octanol,n/a,0.000933254,-3.03
"1,3,5-Tribromobenzene",BrC1=CC(=CC(=C1)Br)Br,1-octanol,n/a,0.134896288,-0.87
"1,4-Dibromobenzene",BrC1=CC=C(C=C1)Br,1-octanol,n/a,0.562341325,-0.25
"2,3,5,6-Tetrachloronitrobenzene",ClC1=C(C(=C(C=C1Cl)Cl)Cl)[N+](=O)[O-],1-octanol,n/a,0.234422882,-0.63
2-Ethylanthraquinone,C(C)C1=CC=2C(C3=CC=CC=C3C(C2C=C1)=O)=O,1-octanol,n/a,0.069183097,-1.16
2-Methylbenzoic acid,CC1=C(C(=O)O)C=CC=C1,1-octanol,n/a,0.993116048,-0.003
"3,4-Dichlorobenzoic acid",ClC=1C=C(C(=O)O)C=CC1Cl,1-octanol,n/a,0.153461698,-0.814
5-Fluorouracil,FC=1C(NC(NC1)=O)=O,1-octanol,n/a,0.004570882,-2.34
6-Deoxyacyclovir,Nc1ncc2ncn(COCCO)c2n1,1-octanol,n/a,0.000912011,-3.04
Acetic acid,C(C)(=O)O,1-octanol,n/a,8.629785478,0.936
Alclofenac,OC(=O)Cc1ccc(OCC=C)c(Cl)c1,1-octanol,n/a,0.609536897,-0.215
Anthracene,C1=CC=CC2=CC3=CC=CC=C3C=C12,1-octanol,n/a,0.016595869,-1.78
Barbituric acid,N1C(=O)NC(=O)CC1=O,1-octanol,n/a,0.120226443,-0.92
Benzene,C1=CC=CC=C1,1-octanol,n/a,5.623413252,0.75
Dichloromethane,ClCCl,1-octanol,n/a,7.691304403,0.886
Dibenz[ah]anthracene,c1ccc2c(c1)ccc3c2cc4ccc5ccccc5c4c3,1-octanol,n/a,0.000933254,-3.03
DMSO,C[S](C)=O,1-octanol,n/a,6.854882265,0.836
Estradiol,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,1-octanol,n/a,0.102329299,-0.99
Ether (Diethylether),CCOCC,1-octanol,n/a,4.764309868,0.678
Ethylene glycol,C(CO)O,1-octanol,n/a,8.933054837,0.951
Flufenamic Acid,OC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F,1-octanol,n/a,0.544502653,-0.264
6-Deoxyacyclovir,Nc1ncc2ncn(COCCO)c2n1,1-octanol,n/a,0.000909913,-3.041
Nandrolone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2O,1-octanol,n/a,0.468813382,-0.329
Naproxen,COc1ccc2cc(ccc2c1)C(C)C(O)=O,1-octanol,n/a,0.128824955,-0.89
Naproxol,COc1ccc2cc(ccc2c1)C(C)CO,1-octanol,n/a,0.28840315,-0.54
N-Methylthalidomide,CN1C(=O)CCC(N2C(=O)c3ccccc3C2=O)C1=O,1-octanol,n/a,0.009772372,-2.01
N-Propylthalidomide,CCCN1C(=O)CCC(N2C(=O)c3ccccc3C2=O)C1=O,1-octanol,n/a,0.020892961,-1.68
Octachlorostyrene,ClC1=C(C(=C(C(=C1C(=C(Cl)Cl)Cl)Cl)Cl)Cl)Cl,1-octanol,n/a,0.239883292,-0.62
PCB-31,Clc1ccc(cc1)c2cc(Cl)ccc2Cl,1-octanol,n/a,0.891250938,-0.05
Piroxicam,CN1C(=C(/O)Nc2ccccn2)/C(=O)c3ccccc3[S]1(=O)=O,1-octanol,n/a,0.001892344,-2.723
Profluralin,CCCN(CC1CC1)c2c(cc(cc2[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,1-octanol,n/a,0.630957344,-0.2
Propyl 4-hydroxybenzoate,OC1=CC=C(C(=O)OCCC)C=C1,1-octanol,n/a,1.172195366,0.069
"S6,9-Bis(acetyloxymethyl)-6-mercaptopurine",CC(=O)OCSc1ncnc2n(COC(C)=O)cnc12,1-octanol,n/a,0.00724436,-2.14
"S6,9-Bis(butanoyloxymethyl)-6-mercaptopurine",CCCC(=O)OCSc1ncnc2n(COC(=O)CCC)cnc12,1-octanol,n/a,0.075857758,-1.12
Sulfadimethoxine,COc1cc(N[S](=O)(=O)c2ccc(N)cc2)nc(OC)n1,1-octanol,n/a,0.00128825,-2.89
Sulfamethoxypyridazine,COc1ccc(N[S](=O)(=O)c2ccc(N)cc2)nn1,1-octanol,n/a,0.001949845,-2.71
Sulfathiazole,Nc1ccc(cc1)[S](=O)(=O)Nc2sccn2,1-octanol,n/a,0.00060256,-3.22
Sulindac ethyl ester,CC\1=C(CC(OCC)=O)c2cc(F)ccc2C1=C\c3ccc(cc3)[S](C)=O,1-octanol,n/a,0.019054607,-1.72
Testosterone benzoate,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2OC(=O)c5ccccc5,1-octanol,n/a,0.047863009,-1.32
