Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES
"1,1,2-Trichloroethane",-1.48,-1.961,ClCC(Cl)Cl
"1,1,2-Trichlorotrifluoroethane",-3.04,-3.077,FC(F)(Cl)C(F)(Cl)Cl
"1,2,3,4-Tetrachlorobenzene",-4.57,-4.546,Clc1ccc(Cl)c(Cl)c1Cl
"1,2,3,5-Tetrachlorobenzene",-4.63,-4.621,Clc1cc(Cl)c(Cl)c(Cl)c1
"1,2,4,5-Tetramethylbenzene",-4.59,-3.664,Cc1cc(C)c(C)cc1C
"1,2,4-Trichlorobenzene",-3.59,-4.083,Clc1ccc(Cl)c(Cl)c1
"1,2-Dichloroethane",-1.06,-1.374,ClCCCl
"1,3-Benzenediol",0.81,-1.59,Oc1cccc(O)c1
"1,3-Dibromobenzene",-3.54,-4.298,Brc1cccc(Br)c1
"1,3-Difluorobenzene",-2,-2.636,Fc1cccc(F)c1
"1,3-Dimethylnaphthalene",-4.29,-4.147,Cc1cc(C)c2ccccc2c1
"1,4-Pentadiene ",-2.09,-1.758,C=CCC=C
1-aminoacridine,-4.22,-3.542,Nc2cccc3nc1ccccc1cc23 
1-Bromonapthalene,-4.35,-4.434,Brc1cccc2ccccc12
1-Bromopentane,-3.08,-2.658,CCCCCBr
1-Chlorohexane,-3.12,-2.648,CCCCCCCl
1-Heptyne,-3.01,-2.155,CCCCCC#C
1-Hexyne ,-2.36,-1.801,CCCCC#C
1-Iodopropane,-2.29,-2.486,CCCI
1-Nitropropane,-0.8,-0.816,CCCN(=O)=O
"2,2',3,3',4,4'-PCB",-8.01,-7.192,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl 
"2,2,4-Trimethylpentane",-4.74,-3.276,CC(C)CC(C)(C)C
"2,2-Dimethyl-1-butanol",-1.04,-1.365,CCC(C)(C)CO
"2,2'-PCB",-5.27,-4.984,Clc1ccccc1c2ccccc2Cl 
"2,3,3',4,4',5-PCB",-7.82,-7.425,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl 
"2,3,5-Trichlorophenol",-2.67,-3.78,Oc1cc(Cl)cc(Cl)c1Cl
"2,4,5-PCB",-6.27,-5.762,Clc1ccc(cc1)c2cc(Cl)ccc2Cl 
"2,4',5-PCB",-6.25,-5.762,Clc1ccc(cc1)c2cc(Cl)ccc2Cl 
"2,4,6-PCB",-6.14,-5.604,Clc1ccc(cc1)c2c(Cl)cccc2Cl 
"2,4,6-Trichlorophenol",-2.34,-3.648,Oc1c(Cl)cc(Cl)cc1Cl
"2,4'-PCB",-5.28,-5.142,Clc1ccc(cc1)c2ccccc2Cl 
"2,4-PCB",-5.25,-5.142,Clc1ccc(cc1)c2ccccc2Cl 
"2,6-Dichlorophenol",-1.79,-3.012,Oc1c(Cl)cccc1Cl
"2,6-Dimethylnaphthalene ",-4.89,-4.147,Cc1ccc2cc(C)ccc2c1
2-Bromotoluene,-2.23,-3.667,Cc1ccccc1Br
2-Chloroanisole,-2.46,-2.912,COc1ccccc1Cl
2-Ethyl pyridine,0.51,-2.051,CCc1ccccn1
2-Ethylhexanal,-2.13,-2.232,CCCCC(CC)C=O
2-Nitropropane,-0.62,-0.743,CC(C)N(=O)=O
2-pyrrolidone,1.07,0.243,O=C1CCCN1
"3,3-Dimethyl-1-butanol",-0.5,-1.365,CC(C)(C)CCO
"3,4-Dichloronitrobenzene",-3.2,-3.448,O=N(=O)c1cc(Cl)c(Cl)cc1
"3,4-Dimethylphenol",-1.38,-2.621,Cc1ccc(O)cc1C
"3,4-PCB",-6.39,-5.223,Clc1ccc(cc1Cl)c2ccccc2 
3-Chlorobiphenyl,-4.88,-4.685,c1c(Cl)cccc1c2ccccc2
3-Chlorophenol,-0.7,-2.761,Oc1cccc(Cl)c1
3-Ethanoyloxymethylphenytoin,-4.47,-2.723,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Heptanol ,-1.47,-1.678,CCCCC(O)CC
3-Methyl-2-butanol,-0.18,-0.954,CC(C)C(C)O
3-Propanoyloxymethylphenytoin,-4.907,-3.128,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3
4-Chlorotoluene,-3.08,-3.297,Cc1ccc(Cl)cc1
4-hydroxypyridine,1.02,-1.655,Oc1ccncc1
4-Methyl-2-pentanol,-0.8,-1.308,CC(C)CC(C)O
4-Methylbiphenyl,-4.62,-4.424,Cc1ccc(cc1)c2ccccc2
5-(3-Methyl-2-butenyl)-5-isoPrbarbital,-2.593,-2.465,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C
5-Ethyl-5-isopropylbarbituric acid,-2.148,-1.603,O=C1NC(=O)NC(=O)C1(CC)C(C)C
5-Methyl-5-ethylbarbituric acid,-1.228,-0.911,O=C1NC(=O)NC(=O)C1(C)CC
6-aminochrysene,-6.2,-4.849,Nc3cc2c1ccccc1ccc2c4ccccc34 
"9,10-Dimethylanthracene",-6.57,-5.228,Cc1c2ccccc2c(C)c3ccccc13
Acridine,-3.67,-3.846,c3ccc2nc1ccccc1cc2c3
Aldrin,-6.307,-5.511,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl
allicin,-0.83,-2.045,C=CCS(=O)SCC=C
Altretamine,-3.364,-2.492,CN(C)c1nc(nc(n1)N(C)C)N(C)C
Anethole,-3.13,-3.254,COc1ccc(C=CC)cc1
