key,name,smiles,mpC,csid,link,source,count,min,max,range
27956,cyclobutylmethane,C1(CCC1)C,-161.51,11232,http://pubs.acs.org/doi/abs/10.1021/ja01142a048,Lemaire HP; Livingston RL Journal of the American Chemical Society; 74(22); 5732-5736 (1952),2,-161.51,-161.5,0.01
15962,"N,N-Dimethylmethanamine",CN(C)C,-117,1114,http://msds.chem.ox.ac.uk/,academic website,2,-117.08,-117,0.08
13466,3-methyl-3-ethylpentane,CC(CC)(CC)CC,-91,13400,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-91,-90.9,0.1
6600,butyronitrile,CCCC#N,-112,7717,http://www.alfa.com/en/GP100W.pgm?DSSTK=L02999,Alfa Aesar,3,-112,-111.9,0.1
6854,diethyl sulfide,CCSCC,-104,9233,http://www.alfa.com/en/GP100W.pgm?DSSTK=L03493,Alfa Aesar,3,-104,-103.9,0.1
4168,3-octyne,CCCCC#CCC,-104,76541,http://www.alfa.com/en/GP100W.pgm?DSSTK=A12845,Alfa Aesar,3,-104,-103.9,0.1
309,1-bromo-2-ethylbenzene,CCc1ccccc1Br,-68,21111882,http://www.alfa.com/en/GP100W.pgm?DSSTK=B23449,Alfa Aesar,3,-68,-67.9,0.1
7663,methyl dichloroacetate,COC(=O)C(Cl)Cl,-52,8013,http://www.alfa.com/en/GP100W.pgm?DSSTK=B24399,Alfa Aesar,2,-52,-51.9,0.1
14079,m-diisopropylbenzene,CC(C)c1cccc(c1)C(C)C,-63,7170,http://www.amazon.com/dp/B003XEQTLE,Aldrich Chemical Company; Aldrich Catalog-Handbook of Fine Chemicals; Milwaukee; WI; 1984.,3,-63.1,-63,0.1
483,"1,4-diethylbenzene",CCc1ccc(cc1)CC,-43,7448,http://www.alfa.com/en/GP100W.pgm?DSSTK=A13343,Alfa Aesar,3,-43,-42.83,0.17
13141,ethylcyclopropane,CCC1CC1,-149,64095,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-149.2,-149,0.2
15785,Ethanethiol,CCS,-148,6103,http://msds.chem.ox.ac.uk/,academic website,3,-148,-147.8,0.2
272,1-bromooctadecane,CCCCCCCCCCCCCCCCCCBr,28,7926,http://www.alfa.com/en/GP100W.pgm?DSSTK=A15588,Alfa Aesar,2,28,28.2,0.2
14047,pentyl_butyrate,O=C(CCC)OCCCCC,-73,10428,http://de.wikipedia.org/wiki/Beilsteins_Handbuch_der_Organischen_Chemie,Beilstein F. K.; Beilsteins Handbuch der Organischen Chemie. Springer; Berlin; 1972.,2,-73.2,-73,0.2
13333,2-methylhexane,CC(C)CCCC,-118,11094,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-118.2,-118,0.2
7284,heptanoyl chloride,CCCCCCC(=O)Cl,-84,16383,http://www.alfa.com/en/GP100W.pgm?DSSTK=L03315,Alfa Aesar,2,-84,-83.8,0.2
13599,isobutylcyclopentane,CC(C)CC1CCCC1,-115,69826,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-115.2,-115,0.2
24308,"3-heptanol, 5-methyl-",CC(CC)CC(O)CC,-91.2,78280,http://www.srcinc.com/what-we-do/product.aspx?id=133,PHYSPROP,2,-91.2,-91,0.2
22,1-octanethiol,CCCCCCCCS,-49,7852,http://www.alfa.com/en/GP100W.pgm?DSSTK=L07195,Alfa Aesar,3,-49.2,-49,0.2
14878,"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,-70,11911,http://msds.chem.ox.ac.uk/,academic website,3,-70.2,-70,0.2
146,1-iodoheptane,CCCCCCCI,-48,19100,http://www.alfa.com/en/GP100W.pgm?DSSTK=B24206,Alfa Aesar,3,-48.2,-48,0.2
13110,allylamine,C=CCN,-88,13835977,http://www.amazon.com/dp/B003XEQTLE,Aldrich Chemical Company; Aldrich Catalog-Handbook of Fine Chemicals; Milwaukee; WI; 1984.,3,-88.2,-88,0.2
7018,epichlorohydrin,C1C(O1)CCl,-57,13837112,http://www.alfa.com/en/GP100W.pgm?DSSTK=A15823,Alfa Aesar,3,-57.2,-57,0.2
14175,m-bromotoluene,Cc1cc(Br)ccc1,-40,13875392,http://www.amazon.com/dp/B003XEQTLE,Aldrich Chemical Company; Aldrich Catalog-Handbook of Fine Chemicals; Milwaukee; WI; 1984.,3,-40,-39.8,0.2
15456,4-Chloro-N-(propylcarbamoyl)benzenesulfonamide,O=S(=O)(NC(=O)NCCC)c1ccc(Cl)cc1,128,2626,http://msds.chem.ox.ac.uk/,academic website,4,127.8,128,0.2
8378,quinoline,c1ccc2c(c1)cccn2,-15,6780,http://www.alfa.com/en/GP100W.pgm?DSSTK=43225,Alfa Aesar,2,-15,-14.78,0.22
