Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES
"1,1-Diethoxyethane ",-0.43,-0.899,CCOC(C)OCC
"1,2,4,5-Tetrachlorobenzene",-5.56,-4.621,Clc1cc(Cl)c(Cl)cc1Cl
"1,2-Dibromobenzene",-3.5,-4.172,Brc1ccccc1Br
"1,3-Dichloropropane",-1.62,-1.618,ClCCCCl
"1,4-Difluorobenzene",-1.97,-2.636,Fc1ccc(F)cc1
"1,7-phenantroline",-2.68,-2.994,c1cnc2c(c1)ccc3ncccc23
1-Decanol,-3.63,-2.814,CCCCCCCCCCO
1-Heptanol,-1.81,-1.751,CCCCCCCO
1-Methylfluorene,-5.22,-4.478,Cc1cccc2c1Cc3ccccc32
1-Pentadecanol,-6.35,-4.586,CCCCCCCCCCCCCCCO
1-Pentanol,-0.6,-1.042,CCCCCO
1-Phenylethanol,-0.92,-1.919,CC(O)c1ccccc1
"2,2',6,6'-PCB",-7.39,-5.915,Clc1cccc(Cl)c1c2c(Cl)cccc2Cl 
"2,3,3',4,4'6-PCB",-7.66,-7.746,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl 
"2,3',4,4',5-PCB",-7.39,-7.343,Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl 
"2,3',4,4'-PCB",-7.8,-6.709,Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl 
"2',3,4-PCB",-6.29,-5.686,Clc1ccc(cc1)c2cccc(Cl)c2Cl 
"2,3,4'-PCB",-6.26,-5.686,Clc1ccc(cc1)c2cccc(Cl)c2Cl 
"2,3,5,6-Tetrachlorophenol",-3.37,-4.203,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
"2,3',5-PCB",-6.01,-5.762,Clc1cccc(c1)c2cc(Cl)ccc2Cl 
"2,3,6-Trichlorophenol",-2.64,-3.572,Oc1c(Cl)ccc(Cl)c1Cl
"2,3-Dichlorophenol",-1.3,-3.144,Oc1cccc(Cl)c1Cl
"2,3-Dimethylpentane",-4.28,-2.938,CCC(C)C(C)C
"2,4,5-Trichlorophenol ",-2.21,-3.78,Oc1cc(Cl)c(Cl)cc1Cl
"2,4,6-Trimethylphenol",-2.05,-2.941,Cc1cc(C)c(O)c(C)c1
"2,6-Dimethylphenol",-1.29,-2.589,Cc1cccc(C)c1O
"2,7-dimethylquinoline",-1.94,-3.342,c2c(C)cc1nc(C)ccc1c2 
2-Butanone,0.52,-0.491,CCC(=O)C
2-Chlorotoluene,-3.52,-3.297,Cc1ccccc1Cl
2-Ethyl-2-hexanal,-2.46,-2.081,CCCC=C(CC)C=O
2-Ethylnaphthalene,-4.29,-4.1,CCc1ccc2ccccc2c1
2-Iodopropane,-2.09,-2.486,CC(C)I
"2-Methyl-1,3-Butadiene ",-2.03,-1.714,CC(=C)C=C
2-Methyl-2-pentanol,-0.49,-1.308,CCCC(C)(C)O
2-Methyl-3-pentanol,-0.7,-1.308,CCC(O)C(C)C
2-Methylpentane,-3.74,-2.6,CCCC(C)C
2-Methylpentanol,-1.11,-1.381,CCCC(C)CO
2-Methylpropan-1-ol,0.1,-0.672,CC(C)CO
2-Methylpropane,-2.55,-1.891,CC(C)C
2-Propanol,0.43,-0.261,CC(C)O
"3,4-Dimethylpyridine",0.36,-2.067,Cc1ccncc1C
3-Hexanoyloxymethylphenyltoin,-5.886,-4.153,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Methyl-3-heptanol,-1.6,-2.017,CCCCC(C)(O)CC
3-methylindole,-2.42,-2.981,Cc1c[nH]c2ccccc12 
3-Octanol,-1.98,-2.033,CCCCCC(O)CC
4-Chloroanisole,-2.78,-3.057,COc1ccc(Cl)cc1
4-Methyl-2-pentanone,-0.74,-1.184,CC(C)CC(=O)C
4-Methylpentanol,-1.14,-1.381,CC(C)CCCO
"5,5-Dimethylbarbituric acid",-1.742,-0.556,O=C1NC(=O)NC(=O)C1(C)C
5-Allyl-5-phenylbarbital,-2.369,-2.36,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1
5-Ethyl-5-(3-methylbutyl)barbital,-2.658,-2.312,O=C1NC(=O)NC(=O)C1(CC)CCC(C)C
5-Nonanone,-2.58,-2.329,CCCCC(=O)CCCC
Acetamide,1.58,0.494,CC(=O)N
Acrolein,0.57,-0.184,C=CC=O
allopurinol,-2.266,-0.84,O=c1[nH]cnc2[nH]ncc12 
alloxantin,-1.99,0.919,C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O)
Amitraz,-5.47,-5.533,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C
Amobarbital,-2.468,-2.312,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
Anilofos,-4.432,-5.106,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1
Anthraquinone,-5.19,-3.34,O=C1c2ccccc2C(=O)c3ccccc13
Antipyrene,0.715,-1.733,Cc1cc(=O)n(c2ccccc2)n1C
Atrazine,-3.85,-3.069,CCNc1nc(Cl)nc(NC(C)C)n1
Barban,-4.37,-4.16,ClCC#CCOC(=O)Nc1cccc(Cl)c1
Benomyl,-4.883,-2.902,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12
Benznidazole,-2.81,-2.321,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2
Benzo[ghi]perylene,-9.018,-6.446,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
Benzoxazole,-1.16,-2.214,c2ccc1ocnc1c2
Benzylchloride,-2.39,-2.887,ClCc1ccccc1
biquinoline,-5.4,-4.903,c2ccc1nc(ccc1c2)c4ccc3ccccc3n4 
borneol,-2.32,-2.423,CC1(C)C2CCC1(C)C(O)C2
bromadiolone,-4.445,-7.877,OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 
Bromomethane,-0.79,-1.109,CBr
brompyrazone,-3.127,-3.005,c1ccccc1n2ncc(N)c(Br)c2(=O)
Caffeine,-0.876,-1.498,Cn1cnc2n(C)c(=O)n(C)c(=O)c12
Carbaryl,-3.224,-3.087,CNC(=O)Oc1cccc2ccccc12
Carbazole,-5.27,-3.836,c1ccc2c(c1)[nH]c3ccccc32
Carbofuran,-2.8,-3.05,CNC(=O)Oc1cccc2CC(C)(C)Oc12
Carboxin,-3.14,-2.927,CC1=C(SCCO1)C(=O)Nc2ccccc2
